fit,product_id,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,cotton,spandex,polyester
slim_fit,1024256001,slim_jeans,19.99,black,1024256,1,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,1024256002,slim_jeans,19.99,light_denim_blue,1024256,2,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,1024256003,slim_jeans,19.99,light_denim_blue,1024256,3,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,1024256004,slim_jeans,19.99,denim_blue,1024256,4,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,1024256005,slim_jeans,19.99,dark_blue,1024256,5,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,1024256006,slim_jeans,19.99,dark_denim_blue,1024256,6,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,1024256007,slim_jeans,19.99,dark_gray,1024256,7,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,1024256008,slim_jeans,19.99,white,1024256,8,2022-09-15 17:14:56,1.0,0.01,0.0
regular_fit,993887007,hybrid_regular_denim_joggers,39.99,black/no_fade_black,993887,7,2022-09-15 17:14:56,0.8,0.01,0.19
regular_fit,993887001,hybrid_regular_denim_joggers,39.99,denim_blue,993887,1,2022-09-15 17:14:56,0.77,0.02,0.21
regular_fit,993887002,hybrid_regular_denim_joggers,39.99,denim_blue,993887,2,2022-09-15 17:14:56,0.77,0.02,0.21
regular_fit,993887004,hybrid_regular_denim_joggers,22.99,black,993887,4,2022-09-15 17:14:56,0.79,0.01,0.2
regular_fit,993887008,hybrid_regular_denim_joggers,39.99,dark_gray,993887,8,2022-09-15 17:14:56,0.78,0.01,0.21
slim_fit,938875007,slim_tapered_jeans,39.99,black,938875,7,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875001,slim_tapered_jeans,29.99,light_denim_blue,938875,1,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875002,slim_tapered_jeans,39.99,white,938875,2,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875004,slim_tapered_jeans,18.99,dark_gray,938875,4,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875008,slim_tapered_jeans,39.99,denim_blue,938875,8,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875010,slim_tapered_jeans,39.99,light_blue,938875,10,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875012,slim_tapered_jeans,39.99,denim_blue,938875,12,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875013,slim_tapered_jeans,21.99,pale_denim_blue,938875,13,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,938875014,slim_tapered_jeans,39.99,black,938875,14,2022-09-15 17:14:56,0.98,0.02,0.65
skinny_fit,1004199007,skinny_cropped_jeans,29.99,denim_blue,1004199,7,2022-09-15 17:14:56,0.98,0.02,0.65
skinny_fit,1004199001,skinny_cropped_jeans,29.99,light_denim_blue,1004199,1,2022-09-15 17:14:56,0.99,0.01,0.0
skinny_fit,1004199002,skinny_cropped_jeans,29.99,black,1004199,2,2022-09-15 17:14:56,0.99,0.01,0.0
skinny_fit,1004199003,skinny_cropped_jeans,14.99,denim_blue,1004199,3,2022-09-15 17:14:56,0.99,0.01,0.65
skinny_fit,1004199004,skinny_cropped_jeans,29.99,white,1004199,4,2022-09-15 17:14:56,0.99,0.01,0.65
skinny_fit,1004199005,skinny_cropped_jeans,29.99,light_gray,1004199,5,2022-09-15 17:14:56,0.99,0.01,0.65
skinny_fit,985159001,skinny_jeans,24.99,black,985159,1,2022-09-15 17:14:56,1.0,0.01,0.0
skinny_fit,985159002,skinny_jeans,24.99,denim_blue,985159,2,2022-09-15 17:14:56,1.0,0.01,0.0
skinny_fit,985159003,skinny_jeans,11.99,dark_gray,985159,3,2022-09-15 17:14:56,0.99,0.01,0.63
skinny_fit,985159004,skinny_jeans,12.99,light_denim_blue,985159,4,2022-09-15 17:14:56,1.0,0.01,0.0
skinny_fit,985159005,skinny_jeans,24.99,dark_blue,985159,5,2022-09-15 17:14:56,1.0,0.01,0.0
skinny_fit,985159006,skinny_jeans,24.99,dark_denim_blue,985159,6,2022-09-15 17:14:56,0.99,0.01,0.65
skinny_fit,985159007,skinny_jeans,24.99,denim_blue,985159,7,2022-09-15 17:14:56,0.99,0.01,0.65
skinny_fit,985159008,skinny_jeans,24.99,dark_gray,985159,8,2022-09-15 17:14:56,0.99,0.01,0.65
regular_fit,1008549001,regular_jeans,24.99,light_denim_blue,1008549,1,2022-09-15 17:14:56,0.98,0.02,0.65
regular_fit,1008549002,regular_jeans,24.99,denim_blue,1008549,2,2022-09-15 17:14:56,0.99,0.01,0.65
regular_fit,1008549003,regular_jeans,24.99,dark_gray,1008549,3,2022-09-15 17:14:56,0.99,0.01,0.65
regular_fit,1008549004,regular_jeans,24.99,dark_blue,1008549,4,2022-09-15 17:14:56,0.99,0.01,0.63
regular_fit,1008549006,regular_jeans,24.99,black,1008549,6,2022-09-15 17:14:56,1.0,0.01,0.0
regular_fit,1008549007,regular_jeans,11.99,light_gray,1008549,7,2022-09-15 17:14:56,1.0,0.01,0.0
regular_fit,1008549008,regular_jeans,10.99,light_denim_blue,1008549,8,2022-09-15 17:14:56,0.99,0.01,0.65
skinny_fit,690449051,skinny_jeans,39.99,gray,690449,51,2022-09-15 17:14:56,0.98,0.02,0.0
skinny_fit,690449001,skinny_jeans,13.99,light_denim_blue/trashed,690449,1,2022-09-15 17:14:56,0.99,0.01,0.0
skinny_fit,690449002,skinny_jeans,14.99,denim_blue,690449,2,2022-09-15 17:14:56,0.98,0.02,0.0
skinny_fit,690449006,skinny_jeans,7.99,black/washed,690449,6,2022-09-15 17:14:56,1.0,0.02,0.0
skinny_fit,690449007,skinny_jeans,14.99,light_denim_blue,690449,7,2022-09-15 17:14:56,1.0,0.02,0.0
skinny_fit,690449009,skinny_jeans,17.99,black_washed_out,690449,9,2022-09-15 17:14:56,0.99,0.01,0.0
skinny_fit,690449011,skinny_jeans,17.99,white,690449,11,2022-09-15 17:14:56,0.99,0.01,0.0
skinny_fit,690449013,skinny_jeans,27.99,black/washed,690449,13,2022-09-15 17:14:56,0.98,0.02,1.0
skinny_fit,690449021,skinny_jeans,25.99,dark_denim_blue/trashed,690449,21,2022-09-15 17:14:56,0.98,0.02,1.0
skinny_fit,690449022,skinny_jeans,39.99,black/trashed,690449,22,2022-09-15 17:14:56,0.98,0.02,1.0
skinny_fit,690449024,skinny_jeans,20.99,dark_blue/trashed,690449,24,2022-09-15 17:14:56,0.98,0.02,1.0
skinny_fit,690449028,skinny_jeans,19.99,dark_blue/washed_out,690449,28,2022-09-15 17:14:56,0.98,0.02,0.0
skinny_fit,690449035,skinny_jeans,21.99,denim_blue/trashed,690449,35,2022-09-15 17:14:56,0.98,0.02,0.0
skinny_fit,690449036,skinny_jeans,39.99,black,690449,36,2022-09-15 17:14:56,0.98,0.02,0.0
skinny_fit,690449040,skinny_jeans,29.99,denim_gray,690449,40,2022-09-15 17:14:56,0.98,0.02,0.65
skinny_fit,690449043,skinny_jeans,39.99,light_denim_blue/trashed,690449,43,2022-09-15 17:14:56,0.98,0.02,0.65
skinny_fit,690449046,skinny_jeans,39.99,light_denim_gray/trashed,690449,46,2022-09-15 17:14:56,0.98,0.02,0.0
skinny_fit,690449056,skinny_jeans,39.99,light_denim_blue,690449,56,2022-09-15 17:14:56,0.98,0.02,0.65
skinny_fit,690449059,skinny_jeans,39.99,denim_blue,690449,59,2022-09-15 17:14:56,0.98,0.02,0.65
loose_fit,979945003,loose_jeans,39.99,black,979945,3,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,979945001,loose_jeans,39.99,light_denim_blue,979945,1,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,979945002,loose_jeans,39.99,denim_blue,979945,2,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,979945009,loose_jeans,39.99,light_gray,979945,9,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,979945012,loose_jeans,39.99,gray,979945,12,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,979945019,loose_jeans,39.99,black,979945,19,2022-09-15 17:14:56,1.0,0.0,0.65
slim_fit,971061004,slim_tapered_cropped_jeans,29.99,light_denim_blue,971061,4,2022-09-15 17:14:56,0.99,0.01,0.0
slim_fit,971061001,slim_tapered_cropped_jeans,29.99,pale_denim_blue,971061,1,2022-09-15 17:14:56,0.99,0.01,0.0
slim_fit,971061002,slim_tapered_cropped_jeans,29.99,light_denim_blue,971061,2,2022-09-15 17:14:56,0.99,0.01,0.0
slim_fit,971061005,slim_tapered_cropped_jeans,29.99,dark_denim_gray,971061,5,2022-09-15 17:14:56,0.99,0.01,0.0
slim_fit,971061006,slim_tapered_cropped_jeans,29.99,denim_blue,971061,6,2022-09-15 17:14:56,0.99,0.01,0.0
slim_fit,1008110002,freefit®_slim_jeans,49.99,black/no_fade_black,1008110,2,2022-09-15 17:14:56,1.0,0.02,0.0
slim_fit,1008110001,freefit®_slim_jeans,49.99,dark_denim_blue,1008110,1,2022-09-15 17:14:56,0.9,0.02,0.8
slim_fit,1008110003,freefit®_slim_jeans,49.99,light_denim_blue,1008110,3,2022-09-15 17:14:56,0.89,0.02,0.8
slim_fit,1008110005,freefit®_slim_jeans,49.99,light_denim_blue,1008110,5,2022-09-15 17:14:56,0.89,0.02,0.8
slim_fit,1008110006,freefit®_slim_jeans,49.99,denim_blue,1008110,6,2022-09-15 17:14:56,0.89,0.02,0.8
slim_fit,1024711006,slim_jeans,29.99,dark_denim_blue,1024711,6,2022-09-15 17:14:56,1.0,0.02,0.0
slim_fit,1024711001,slim_jeans,29.99,black,1024711,1,2022-09-15 17:14:56,1.0,0.02,0.0
slim_fit,1024711002,slim_jeans,29.99,light_denim_blue,1024711,2,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,1024711004,slim_jeans,8.99,light_denim_blue,1024711,4,2022-09-15 17:14:56,1.0,0.01,0.0
regular_fit,1013317006,hybrid_regular_tapered_joggers,39.99,black,1013317,6,2022-09-15 17:14:56,0.79,0.01,0.2
regular_fit,1013317001,hybrid_regular_tapered_joggers,39.99,light_denim_blue,1013317,1,2022-09-15 17:14:56,0.77,0.02,0.21
regular_fit,1013317002,hybrid_regular_tapered_joggers,39.99,denim_blue,1013317,2,2022-09-15 17:14:56,0.78,0.01,0.21
regular_fit,1013317003,hybrid_regular_tapered_joggers,39.99,dark_denim_blue,1013317,3,2022-09-15 17:14:56,0.77,0.02,0.21
regular_fit,1013317004,hybrid_regular_tapered_joggers,20.99,black,1013317,4,2022-09-15 17:14:56,0.78,0.01,0.21
regular_fit,1013317005,hybrid_regular_tapered_joggers,39.99,dark_gray,1013317,5,2022-09-15 17:14:56,0.79,0.02,0.19
regular_fit,1013317008,hybrid_regular_tapered_joggers,15.99,dark_blue,1013317,8,2022-09-15 17:14:56,0.77,0.02,0.21
regular_fit,1013317010,hybrid_regular_tapered_joggers,22.99,black,1013317,10,2022-09-15 17:14:56,0.8,0.01,0.19
regular_fit,1013317012,hybrid_regular_tapered_joggers,39.99,light_denim_blue,1013317,12,2022-09-15 17:14:56,0.78,0.01,0.21
relaxed_fit,1071707001,relaxed_jeans,29.99,black,1071707,1,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,1071707002,relaxed_jeans,29.99,light_denim_blue,1071707,2,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1071707003,relaxed_jeans,29.99,dark_denim_blue,1071707,3,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1071707008,relaxed_jeans,29.99,denim_blue,1071707,8,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1071707010,relaxed_jeans,29.99,denim_gray,1071707,10,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105029,relaxed_jeans,39.99,black,875105,29,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105001,relaxed_jeans,22.99,denim_blue,875105,1,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,875105002,relaxed_jeans,39.99,black,875105,2,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,875105003,relaxed_jeans,39.99,light_denim_blue,875105,3,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,875105009,relaxed_jeans,39.99,dark_denim_blue,875105,9,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105011,relaxed_jeans,22.99,light_denim_blue,875105,11,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105015,relaxed_jeans,22.99,light_denim_blue,875105,15,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,875105016,relaxed_jeans,39.99,denim_blue,875105,16,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105017,relaxed_jeans,39.99,dark_denim_blue,875105,17,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105018,relaxed_jeans,39.99,pale_denim_blue,875105,18,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105023,relaxed_jeans,39.99,black,875105,23,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105024,relaxed_jeans,39.99,light_denim_blue,875105,24,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,875105026,relaxed_jeans,39.99,light_gray,875105,26,2022-09-15 17:14:56,1.0,0.0,0.0
loose_fit,1074475003,loose_jeans,44.99,black,1074475,3,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,1074475001,loose_jeans,44.99,light_denim_blue,1074475,1,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,1074475002,loose_jeans,44.99,denim_blue,1074475,2,2022-09-15 17:14:56,1.0,0.0,0.65
loose_fit,1051644001,loose_jeans,44.99,denim_blue,1051644,1,2022-09-15 17:14:56,1.0,0.0,0.0
regular_fit,811993036,regular_jeans,29.99,blue,811993,36,2022-09-15 17:14:56,0.99,0.01,0.0
regular_fit,811993001,regular_jeans,12.99,black/washed_out,811993,1,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993002,regular_jeans,29.99,denim_blue,811993,2,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993003,regular_jeans,18.99,dark_denim_blue,811993,3,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993006,regular_jeans,14.99,graphite_gray,811993,6,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993007,regular_jeans,22.99,light_denim_blue,811993,7,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993021,regular_jeans,20.99,black,811993,21,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993022,regular_jeans,16.99,cream,811993,22,2022-09-15 17:14:56,0.99,0.01,0.0
regular_fit,811993024,regular_jeans,17.99,denim_blue,811993,24,2022-09-15 17:14:56,1.0,0.01,0.0
regular_fit,811993025,regular_jeans,15.99,light_blue,811993,25,2022-09-15 17:14:56,1.0,0.01,0.0
regular_fit,811993028,regular_jeans,19.99,denim_blue,811993,28,2022-09-15 17:14:56,0.99,0.01,0.0
regular_fit,811993031,regular_jeans,22.99,dark_denim_blue,811993,31,2022-09-15 17:14:56,0.99,0.01,0.0
regular_fit,811993034,regular_jeans,29.99,pale_denim_blue,811993,34,2022-09-15 17:14:56,0.99,0.01,0.0
regular_fit,811993037,regular_jeans,15.99,dark_blue,811993,37,2022-09-15 17:14:56,0.99,0.01,0.0
regular_fit,811993039,regular_jeans,29.99,dark_denim_blue,811993,39,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993040,regular_jeans,29.99,black,811993,40,2022-09-15 17:14:56,0.98,0.02,0.0
regular_fit,811993044,regular_jeans,29.99,dark_denim_blue,811993,44,2022-09-15 17:14:56,1.0,0.01,0.0
loose_fit,1044249001,loose_pull-on_jeans,44.99,light_denim_blue,1044249,1,2022-09-15 17:14:56,0.35,0.0,0.65
loose_fit,1044249002,loose_pull-on_jeans,44.99,dark_denim_blue,1044249,2,2022-09-15 17:14:56,0.35,0.0,0.65
relaxed_fit,1027852007,relaxed_denim_joggers,29.99,denim_blue,1027852,7,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,1027852002,relaxed_denim_joggers,29.99,dark_gray,1027852,2,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,1027852006,relaxed_denim_joggers,29.99,dark_denim_blue,1027852,6,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,1027852009,relaxed_denim_joggers,29.99,light_denim_blue,1027852,9,2022-09-15 17:14:56,1.0,0.0,0.0
regular_fit,927964001,regular_tapered_crop_jeans,19.99,denim_blue,927964,1,2022-09-15 17:14:56,1.0,0.0,0.65
regular_fit,927964002,regular_tapered_crop_jeans,19.99,light_denim_blue,927964,2,2022-09-15 17:14:56,1.0,0.0,0.65
regular_fit,927964003,regular_tapered_crop_jeans,19.99,dark_gray,927964,3,2022-09-15 17:14:56,1.0,0.0,0.65
regular_fit,927964004,regular_tapered_crop_jeans,19.99,steel_blue,927964,4,2022-09-15 17:14:56,1.0,0.0,0.65
regular_fit,927964005,regular_tapered_crop_jeans,10.99,white,927964,5,2022-09-15 17:14:56,1.0,0.0,0.0
regular_fit,927964013,regular_tapered_crop_jeans,19.99,black,927964,13,2022-09-15 17:14:56,1.0,0.0,0.0
relaxed_fit,1018704003,relaxed_pull-on_jeans,24.99,black,1018704,3,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1018704001,relaxed_pull-on_jeans,24.99,light_denim_blue,1018704,1,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1018704002,relaxed_pull-on_jeans,24.99,denim_blue,1018704,2,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1025726003,relaxed_jeans,39.99,graphite_gray,1025726,3,2022-09-15 17:14:56,1.0,0.0,0.65
relaxed_fit,1025726002,relaxed_jeans,11.99,light_denim_blue,1025726,2,2022-09-15 17:14:56,1.0,0.0,0.65
slim_fit,985197003,slim_jeans,19.99,denim_blue,985197,3,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,985197001,slim_jeans,19.99,black,985197,1,2022-09-15 17:14:56,1.0,0.02,0.0
slim_fit,985197002,slim_jeans,6.99,midnight_blue,985197,2,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,985197004,slim_jeans,19.99,dark_denim_blue,985197,4,2022-09-15 17:14:56,1.0,0.01,0.0
slim_fit,985197005,slim_jeans,15.99,dark_denim_blue,985197,5,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,985197006,slim_jeans,19.99,light_denim_blue,985197,6,2022-09-15 17:14:56,0.99,0.01,0.65
slim_fit,985197007,slim_jeans,15.99,dark_gray,985197,7,2022-09-15 17:14:56,0.99,0.01,0.65
